post_no,type,writer,body,time,hour,soldout
926901793,comment,Kitchen B1,석식2코너산채나물비빔밥은품절되었습니다.,4월 18일 PM 7:35,19:35,2.0
926901790,comment,Kitchen B1,중식2코스품절되었습니다.,4월 17일 PM 1:50,13:50,2.0
926901785,comment,Kitchen B1,석식2코너품절되었습니다.,4월 15일 PM 7:46,19:46,2.0
926901784,comment,Kitchen B1,중식2코스품절되었습니다,4월 15일 PM 1:37,13:37,2.0
926901777,comment,Kitchen B1,중식2코스경양식돈까스&데미소스품절되었습니다.,4월 11일 PM 1:35,13:35,2.0
926901794,comment,Kitchen B1,중식2코스스틱마늘빵품절로감자튀김제공드립니다.,4월 19일 PM 1:11,13:11,2.0
926901845,comment,kitchen B1,중식2코스품절되었습니다.,5월 21일 PM 1:43,13:43,2.0
926901846,comment,Kitchen B1,석식2코너우삼겹깍두기볶음밥은품절되었습니다.,5월 21일 PM 7:49,19:49,2.0
926901847,comment,Kitchen B1,중식2코너품절되었습니다,5월 22일 PM 1:41,13:41,2.0
926900757,comment,B1_Kitchen,2코너오므라이스품절되었습니다.,2022년 9월 28일,NaN,2.0
926900746,comment,B1_Kitchen,2코너돌솥비빔밥품절되었습니다.,2022년 9월 22일,NaN,2.0
926900711,comment,B1_Kitchen,2코너차돌된장찌개품절되었습니다.,2022년 8월 31일,NaN,2.0
926900686,comment,B1_Kitchen,2코너황태해장국품절되었습니다.,2022년 8월 17일,NaN,2.0
926900638,comment,B1_Kitchen,2코너반반오므라이스품절되었습니다.,2022년 7월 22일,NaN,2.0
926900630,comment,Kitchen B1,2코너-가지덮밥품절되었습니다,2022년 7월 18일,NaN,2.0
926900619,comment,Kitchen B1,2코너-소고기미나리볶음밥품절입니다,2022년 7월 12일,NaN,2.0
926900602,comment,Kitchen B1,2코너-반반커리&새우튀김품절되었습니다,2022년 7월 4일,NaN,2.0
926900597,comment,B1_Kitchen,2코너햄김치볶음밥품절되었습니다.,2022년 7월 1일,NaN,2.0
926901861,comment,Kitchen B1,중식2코스베이컨갈릭볶음밥품절되었습니다,5월 30일 PM 1:33,13:33,2.0
926901860,comment,Kitchen B1,석식2코스품절되었습니다,5월 29일 PM 7:41,19:41,2.0
926901856,comment,kitchen B1,석식2코스야채듬뿍하이라이스는품절되었습니다.,5월 27일 PM 7:43,19:43,2.0
926901855,comment,Kitchen B1,중식2코스품절되었습니다,5월 27일 PM 1:39,13:39,2.0
926901851,comment,kitchen B1,석식2코스품절되었습니다.,5월 23일 PM 7:44,19:44,2.0
926901848,comment,Kitchen B1,석식2코너지파이버거는품절되었습니다.,5월 22일 PM 7:55,19:55,2.0
926901774,comment,Kitchen B1,석식2코너제육볶음은품절되었습니다.,4월 9일 PM 7:48,19:48,2.0
926901773,comment,Kitchen B1,중식2코스중국식볶음밥&자장소스가품절되었습니다,4월 9일 PM 1:30,13:30,2.0
926901165,comment,Kitchen B1,석식2코스옛날카레라이스&소시지구이품절되었습니다.,2023년 4월 27일,NaN,2.0
926901749,comment,kitchen B1,석식2코스품절되었습니다.,3월 25일 PM 7:42,19:42,2.0
926901644,comment,kitchen B1,중식2코스돼지양념구이는품절되었습니다.,1월 29일 PM 1:34,13:34,2.0
926901641,comment,Kitchen B1,중식2코너가츠동돈부리는품절되었습니다.,1월 26일 PM 1:07,13:07,2.0
926901640,comment,Kitchen B1,석식2코너오징어볶음덮밥은품절되었습니다.,1월 25일 PM 7:38,19:38,2.0
926901639,comment,kitchen B1,중식2코스왕갈비쌀국수는품절입니다,1월 25일 PM 1:29,13:29,2.0
926901634,comment,Kitchen B1,석식2코스스팸김치볶음밥은품절되었습니다.,1월 23일 PM 7:51,19:51,2.0
926901628,comment,Kitchen B1,중식2코스경양식오므라이스&그릴소세지품절되었습니다.,1월 19일 PM 1:31,13:31,2.0
926901626,comment,Kitchen B1,중식2코너는품절되었습니다.,1월 18일 PM 1:57,13:57,2.0
926901624,comment,Kitchen B1,석식2코스품절되었습니다.,1월 17일 PM 7:56,19:56,2.0
926901621,comment,kitchen B1,중식2코스우삼겹봄동겉절이비빔밥은품절되었습니다,1월 16일 PM 1:36,13:36,2.0
926901619,comment,Kitchen B1,중식2코스품절되었습니다.,1월 15일 PM 1:51,13:51,2.0
926901603,comment,Kitchen B1,중식2코스장조림버터비빔밥품절되었습니다,1월 5일 PM 1:42,13:42,2.0
926901602,comment,Kitchen B1,2코너불고기할라피뇨볶음밥품절되었습니다.,1월 4일 PM 7:44,19:44,2.0
926901598,comment,Kitchen B1,중식2코스마파두부덮밥품절되었습니다.,1월 2일 PM 7:55,19:55,2.0
926901597,comment,Kitchen B1,중식2코너멜팅치즈돈까스는품절되었습니다.,1월 2일 PM 1:43,13:43,2.0
926901593,comment,kitchen B1,석식2코너베이컨갈릭볶음밥은품절되었습니다.,12월 28일 PM 7:39,19:39,2.0
926901648,comment,Kitchen B1,중식2코스고추잡채덮밥품절되었습니다.,1월 31일 PM 1:31,13:31,2.0
926900767,comment,B1_Kitchen,2코너치즈김치볶음밥품절되었습니다.,2022년 10월 5일,NaN,2.0
926901653,comment,Kitchen B1,석식2코스훈제오리구이품절되었습니다.,2월 1일 PM 7:44,19:44,2.0
926901658,comment,Kitchen B1,석식2코스품절되었습니다.,2월 5일 PM 7:55,19:55,2.0
926901735,comment,Kitchen B1,중식2코너고구마치즈돈까스는품절되었습니다.,3월 19일 PM 1:35,13:35,2.0
926901734,comment,Kitchen B1,석식2코스품절되었습니다.,3월 18일 PM 7:57,19:57,2.0
926901722,comment,Kitchen B1,석식2코너품절되었습니다,3월 13일 PM 7:51,19:51,2.0
926901719,comment,Kitchen B1,석식2코너산채들기름볶음밥은품절되었습니다.,3월 12일 PM 7:56,19:56,2.0
926901716,comment,Kitchen B1,중식2코스조기품절로메뉴변경되어추가찬깻잎어묵전제공됩니다.,3월 11일 PM 1:14,13:14,2.0
926901707,comment,Kitchen B1,중식2코스품절되었습니다,3월 6일 PM 1:43,13:43,2.0
926901702,comment,Kitchen B1,중식2코스돈까스마요덮밥은품절되었습니다.,3월 4일 PM 1:53,13:53,2.0
926901696,comment,Kitchen B1,석식2코너삼치구이는품절되었습니다.,2월 27일 PM 7:49,19:49,2.0
926901694,comment,kitchen B1,석식2코스제육두루치기&두부숙회는품절되었습니다.,2월 26일 PM 7:44,19:44,2.0
926901693,comment,kitchen B1,중식2코스나시고랭볶음밥은품절되었습니다.,2월 26일 PM 1:33,13:33,2.0
926901690,comment,Kitchen B1,중식2코너품절되었습니다.,2월 23일 PM 1:32,13:32,2.0
926901680,comment,Kitchen B1,석식2코스품절되었습니다.,2월 19일 PM 7:37,19:37,2.0
926901675,comment,Kitchen B1,중식2코스간장닭불고기품절되었습니다,2월 16일 PM 1:48,13:48,2.0
926901663,comment,kitchen B1,"석식2코스옛날카레라이스는품절되었습니다,",2월 7일 PM 7:50,19:50,2.0
926901659,comment,Kitchen B1,중식2코너품절되었습니다.,2월 6일 PM 1:32,13:32,2.0
926901654,comment,kitchen B1,중식2코너뼈없는닭갈비품절로'고추장우삼겹볶음'으로메뉴변경되었습니다.,2월 2일 PM 1:42,13:42,2.0
926901166,comment,Kitchen B1,중식2코너돼지국밥품절되었습니다.,2023년 4월 28일,NaN,2.0
