post_no,day,day_of_week,meal_time,course_no,course,course_kcal,course_protein,course_na,soldout,soldout_time,is_soldout
926901171,2023-05-03,Wednesday,lunch,[1],"투움바파스타,미니함박&데미소스,오이피클,탄산음료",956,36,1270.0,[1],NaN,True
926901171,2023-05-03,Wednesday,lunch,[2],"닭곰탕,잡곡밥,언양식불고기,쥐어채볶음,고들빼기무침",882,44,1245.0,NaN,NaN,False
926901172,2023-05-03,Wednesday,dinner,[1],"육감쫄면,우동국물,후리가케밥(소),갈비만두찜,꼬들단무지",942,58,1466.0,NaN,NaN,False
926901172,2023-05-03,Wednesday,dinner,[2],"차돌된장찌개,잡곡밥,한식잡채,고구마순들깨나물,청경채겉절이",631,37,1429.0,NaN,NaN,False
926901173,2023-05-04,Thursday,lunch,[1],"<제철식재>매실매실청돈육불고기,잡곡밥,얼큰콩나물국,느타리버섯채소볶음,양념깻잎지",699,30,1251.0,NaN,NaN,False
926901173,2023-05-04,Thursday,lunch,[2],"<제철식재>표고버섯새우볶음밥&짜장소스,계란파국,표고돈육탕수육,중국식오이무침",916,41,1411.0,[2],NaN,True
926901174,2023-05-04,Thursday,dinner,[1],"경상도식소고기무국,잡곡밥,녹두빈대떡,부들어묵볶음,삼색겨자냉채",768,39,1442.0,NaN,NaN,False
926901174,2023-05-04,Thursday,dinner,[2],"스팸마요덮밥,미역국,순살닭강정&알새우칩,블루베리무피클",986,55,1226.0,NaN,NaN,False
926901176,2023-05-08,Monday,lunch,[1],"제육볶음&파채,잡곡밥,콩나물국,메추리알장조림,양배추쌈&쌈장",743,36,1306.0,NaN,NaN,False
926901176,2023-05-08,Monday,lunch,[2],"경양식치즈돈까스&구운채소,흑미밥,크림수프,모닝빵&딸기잼,오이피클",967,22,1342.0,NaN,NaN,False
926901177,2023-05-08,Monday,dinner,[1],"우렁된장찌개,잡곡밥,채소계란말이,연근조림,브로콜리숙회",777,34,1229.0,NaN,NaN,False
926901177,2023-05-08,Monday,dinner,[2],"장조림버터비빔밥,맑은팽이장국,청파래오징어까스*타르타르소스,마늘쫑무침",913,35,1383.0,NaN,NaN,False
926901178,2023-05-09,Tuesday,lunch,[1],"우육탕면,쌀밥(소),꿔바로우,짜사이무침",920,50,1419.0,[1],NaN,True
926901178,2023-05-09,Tuesday,lunch,[2],"훈제오리볶음&양파구이,잡곡밥,얼갈이된장국,바싹김치전,무쌈*머스타드소스",837,31,1252.0,NaN,NaN,False
926901179,2023-05-09,Tuesday,dinner,[1],"얼큰순대국밥,잡곡밥,동그랑땡조림,알감자조림,풋고추양파된장무침",902,35,1375.0,[1],NaN,True
926901179,2023-05-09,Tuesday,dinner,[2],"지파이버거,감자튀김&케첩,옥수수코울슬로,탄산음료",952,27,1360.0,NaN,NaN,False
926901180,2023-05-10,Wednesday,lunch,[1],"뚝배기소불고기,잡곡밥,두부양념조림,가지나물,부추겉절이",724,30,1105.0,NaN,NaN,False
926901180,2023-05-10,Wednesday,lunch,[2],"잠발라야볶음밥&계란프라이,우동국물,카레크로켓&어니언링,알마늘지무침",895,46,1399.0,NaN,NaN,False
926901181,2023-05-10,Wednesday,dinner,[1],"황태미역국,잡곡밥,너비아니구이,방풍나물,고추지무침",744,28,1315.0,NaN,NaN,False
926901181,2023-05-10,Wednesday,dinner,[2],"가쓰오해물나시고랭,미소장국.춘권튀김,양파피클",868,32,1489.0,[2],NaN,True
926901183,2023-05-11,Thursday,dinner,[1],"닭볶음탕,잡곡밥,호박새우젓국,맛살채소볶음,반반콩자반",884,50,1429.0,NaN,NaN,False
926901183,2023-05-11,Thursday,dinner,[2],"명란마요규동,어묵국,세사미두부카츠,궁채절임",869,35,1300.0,NaN,NaN,False
926901184,2023-05-12,Friday,lunch,[1],"잔치국수,유부초밥,납작지짐만두&비빔야채,치자단무지",876,33,1477.0,[1],NaN,True
926901184,2023-05-12,Friday,lunch,[2],"고갈비구이,잡곡밥,콩가루배추국,미역줄기볶음,오이깍뚝무침",756,23,1360.0,NaN,NaN,False
926901185,2023-05-12,Friday,dinner,[1],"치즈김치돌솥비빔밥,무채국,해물부추전,견과멸치볶음",890,53,1268.0,NaN,NaN,False
926901187,2023-05-15,Monday,lunch,[1],"고추장삼겹살구이&구운양파,잡곡밥,시래기된장국,부들어묵볶음,상추쌈&쌈장",844,37,1336.0,NaN,NaN,False
926901187,2023-05-15,Monday,lunch,[2],"일식커리&멘치까스,강황밥,우동국물,아게다시도후,락교*초생강",976,38,1312.0,NaN,NaN,False
926901188,2023-05-15,Monday,dinner,[1],"참치김치찌개,잡곡밥,도톰동그랑땡전,느타리버섯볶음,시금치나물",732,32,1401.0,[1],NaN,True
926901188,2023-05-15,Monday,dinner,[2],"소불고기달걀덮밥,맑은유부국,고구마고로케&케첩,우엉파프리카볶음",932,51,1268.0,NaN,NaN,False
926901189,2023-05-16,Tuesday,lunch,[1],"비빔막국수,사골파국,쌀밥(소),미니수육,보쌈무김치",753,55,1488.0,NaN,NaN,False
926901189,2023-05-16,Tuesday,lunch,[2],"소불고기솥밥*양념장,된장찌개.고등어반마리구이,감자채볶음,모듬채소겉절이",750,46,1345.0,[2],NaN,True
926901193,2023-05-17,Wednesday,lunch,[1],"분짜플레터(간장불고기*쌀국수*짜조)&느억맘소스,쌀국수국물,파인애플볶음밥,양파피클",954,29,1164.0,[1],NaN,True
926901193,2023-05-17,Wednesday,lunch,[2],"매콤닭불고기,잡곡밥,몽글몽글순두부탕,명엽채볶음,고들빼기무침",894,54,1332.0,NaN,NaN,False
926901194,2023-05-17,Wednesday,dinner,[1],"불고기퀘사디아&양념감자튀김*사워크림/살사소스,마늘밥,양배추적채피클,탄산음료",973,23,1179.0,NaN,NaN,False
926901194,2023-05-17,Wednesday,dinner,[2],"돈목살김치찜,쌀밥&계란프라이,근대된장국,건파래자반,호박새우젓볶음",755,30,1489.0,NaN,NaN,False
926901195,2023-05-18,Thursday,lunch,[1],"<헬시데이>식물성미트라구소스파스타,양송이수프,두부텐더샐러드,오이피클,레몬콤부차",715,20,1295.0,NaN,NaN,False
926901195,2023-05-18,Thursday,lunch,[2],"열무김치보리비빔밥&계란프라이,청국장찌개,어니언떡갈비구이,맑은오이지무침,비빔고추장",943,38,1452.0,NaN,NaN,False
926901196,2023-05-18,Thursday,dinner,[1],"전주콩나물국밥,잡곡밥,두절가자미구이,탕평채,무말랭이무침",651,30,1280.0,NaN,NaN,False
926901196,2023-05-18,Thursday,dinner,[2],"시래기두루치기덮밥,계란파국,교자만두탕수,청경채나물",705,35,1412.0,[2],NaN,True
926901198,2023-05-19,Friday,lunch,[1],"닭개장,잡곡밥,단호박채전,두부쑥갓나물,깻잎지무침",709,20,1409.0,NaN,NaN,False
926901198,2023-05-19,Friday,lunch,[2],"베이컨갈릭볶음밥&어린잎,미소시루,새우튀김&칠리소스,블루베리무피클",839,26,1466.0,NaN,NaN,False
926901199,2023-05-19,Friday,dinner,[1],"왕만두떡국,쌀밥(소),오징어초무침,게맛살채소볶음,열무나물",921,38,1230.0,NaN,NaN,False
926901202,2023-05-22,Monday,lunch,[1],"치즈부대전골&라면사리,잡곡밥,계란찜,알감자조림,들깨무나물",969,41,1403.0,NaN,NaN,False
926901202,2023-05-22,Monday,lunch,[2],"고구마무스돈까스,흑임자밥&구운채소,크림수프,모닝빵&달걀샐러드,블루베리무피클",1003,36,1301.0,NaN,NaN,False
926901203,2023-05-22,Monday,dinner,[1],"소고기샤브전골&칼국수사리,잡곡밥,꽈리고추계란장조림,가지나물,마늘쫑무침",726,26,1412.0,NaN,NaN,False
926901203,2023-05-22,Monday,dinner,[2],"오징어볶음덮밥&깻잎상추채,수제비국,옛날소시지전&케첩,오이지무침",871,41,1394.0,NaN,NaN,False
926901204,2023-05-23,Tuesday,lunch,[1],"나가사키짬뽕,쌀밥(소),타코야끼,꼬들단무지",804,27,1447.0,NaN,NaN,False
926901204,2023-05-23,Tuesday,lunch,[2],"반반불고기,잡곡밥,유채된장국,바싹김치전,양배추쌈&쌈장",977,75,1311.0,NaN,NaN,False
926901205,2023-05-23,Tuesday,dinner,[1],"닭보쌈,잡곡밥,미니묵사발,얼갈이나물,삼색겨자채무침",643,32,1282.0,NaN,NaN,False
926901205,2023-05-23,Tuesday,dinner,[2],"돈목살김치필라프,유부장국,피쉬앤칩스,발사믹토마토",941,68,1330.0,NaN,NaN,False
926901207,2023-05-24,Wednesday,lunch,[1],"소고기미역국,잡곡밥,두부숙회*돈육볶음김치,미니새송이파프리카볶음,오이부추무침",950,50,1334.0,[1],NaN,True
926901207,2023-05-24,Wednesday,lunch,[2],"중화풍버섯잡채덮밥,계란파국,유린기,짜사이무침",949,35,1245.0,NaN,NaN,False
926901208,2023-05-24,Wednesday,dinner,[1],"모듬어묵전골,잡곡밥,단호박묵&어린잎,간장무채장아찌,풀무원조미김,와사비장",812,34,1162.0,NaN,NaN,False
926901208,2023-05-24,Wednesday,dinner,[2],"산채들기름비빔밥&약고추장,조랭이떡국,언양식불고기,우엉참깨무침",837,44,1326.0,NaN,NaN,False
926901209,2023-05-25,Thursday,lunch,"[1, 2]","<런치스페셜>통삼겹스테이크&구운채소,양념옥수수,미소장국,파인애플볶음밥,냉파스타샐러드,오이피클할라피뇨",1342,55,1235.0,NaN,NaN,False
926901211,2023-05-25,Thursday,dinner,[1],"소고기숙주볶음,잡곡밥,아욱된장국,해물부추전,청경채겉절이",764,29,1207.0,NaN,NaN,False
926901212,2023-05-26,Friday,lunch,[1],"누룽지봉추찜닭,잡곡밥,오이냉국,마늘쫑볶음,콩나물파채무침",899,62,1050.0,[1],NaN,True
926901212,2023-05-26,Friday,lunch,[2],"경양식오므라이스&함박,우동국물,바나나브륄레,적채무피클",838,27,1331.0,NaN,NaN,False
926901213,2023-05-26,Friday,dinner,[1],"콩비지찌개,잡곡밥,떡갈비조림,브로콜리마늘볶음,참나물무침",656,51,1221.0,NaN,NaN,False
926901215,2023-05-30,Tuesday,lunch,[1],"장터국밥,잡곡밥,감자채전,메추리알장조림,미역레몬초무침",805,36,1429.0,NaN,NaN,False
926901215,2023-05-30,Tuesday,lunch,[2],"가라아게마요덮밥,김치국,연두부오리엔탈샐러드,유자꼬들단무지",948,41,1337.0,[2],NaN,True
926901216,2023-05-30,Tuesday,dinner,[1],"통마늘돼지불백,잡곡밥,시금치된장국,도토리묵채소무침,멸치견과볶음",887,56,1354.0,NaN,NaN,False
926901216,2023-05-30,Tuesday,dinner,[2],"옛날카레라이스&구운소세지,어묵국,치즈스틱*케첩,오복지무침",936,29,1442.0,[2],NaN,True
926901218,2023-05-31,Wednesday,lunch,[1],"파채버섯소불고기,잡곡밥,비엔나소시지볶음,명엽채볶음,돌나물*초고추장",915,52,1363.0,NaN,NaN,False
926901218,2023-05-31,Wednesday,lunch,[2],"토마토리조또&새우튀김,단호박크림수프,프렌치토스트,수제모듬피클",888,31,1289.0,[2],NaN,True
926901219,2023-05-31,Wednesday,dinner,[1],"동태지리탕,잡곡밥,너비아니구이,연근땅콩조림,부추겉절이",815,55,1338.0,NaN,NaN,False
926901219,2023-05-31,Wednesday,dinner,[2],"소보로비빔밥,다시마무채국,청파래오징어까스*타르타르소스,팽이미역줄기볶음",783,31,1377.0,NaN,NaN,False
926901220,2023-06-01,Thursday,lunch,[1],"제철식재<복분자>옛날자장면,계란파국,복분자소스탕수육,반달단무지",996,42,1313.0,NaN,NaN,False
926901220,2023-06-01,Thursday,lunch,[2],"제철식재<감자>감자짜글이김치찌개,쌀밥&계란프라이,한식잡채,느타리버섯볶음,건파래자반",806,28,1342.0,NaN,NaN,False
926901221,2023-06-01,Thursday,dinner,[1],"뼈없는닭갈비,잡곡밥,미역국,콩자반,무쌈&깻잎,모듬채소스틱&쌈장",726,28,1193.0,[1],NaN,True
926901221,2023-06-01,Thursday,dinner,[2],"불고기핫도그&감자*양파링튀김,마카로니콘치즈구이,오이피클,탄산음료",905,20,1350.0,NaN,NaN,False
926901222,2023-06-02,Friday,lunch,[1],"철판오징어볶음&소면사리,잡곡밥,얼갈이된장국,동그랑땡조림,숙주나물",813,42,1377.0,NaN,NaN,False
926901222,2023-06-02,Friday,lunch,[2],"소고기미나리볶음밥,유부장국,김치메밀전병,무말랭이무침",722,29,1368.0,NaN,NaN,False
926901223,2023-06-02,Friday,dinner,[1],"사골우거지탕,잡곡밥,두부구이*양념장,부들어묵볶음,고들빼기무침",710,34,1291.0,NaN,NaN,False
926901225,2023-06-05,Monday,lunch,[1],"나주곰탕,잡곡밥,돈저냐구이&파채,호박새우젓볶음,열무된장나물",682,34,1375.0,NaN,NaN,False
926901225,2023-06-05,Monday,lunch,[2],"매운돈까스정식&볶음채소,쌀밥,크림스프,콘치즈모닝빵,오이피클",982,29,1360.0,NaN,NaN,False
926901226,2023-06-05,Monday,dinner,[1],"교자만두칼국수,미니열무보리비빔밥,녹두전*초간장,고추지무침",931,42,1211.0,NaN,NaN,False
926901226,2023-06-05,Monday,dinner,[2],"돈육고추장볶음&파채,잡곡밥,아욱된장국,가지양념구이,치커리유자청무침",734,35,1347.0,NaN,NaN,False
926901227,2023-06-07,Wednesday,lunch,[1],"순두부찌개,잡곡밥,도톰완자전,알감자조림,깻잎지무침",854,39,1213.0,NaN,NaN,False
926901227,2023-06-07,Wednesday,lunch,[2],"반반카레라이스&두부텐더,우동국물,야채고로케,블루베리무피클",954,26,1225.0,NaN,NaN,False
926901228,2023-06-07,Wednesday,dinner,[1],"취나물영양밥&부추양념장,청국장찌개,고등어반마리구이,파래김구이,오이깍둑무침",733,30,1373.0,NaN,NaN,False
926901228,2023-06-07,Wednesday,dinner,[2],"핫도그떡볶이,맑은유부국,참치마요덮밥,모듬튀김,한입단무지",923,38,1234.0,NaN,NaN,False
926901230,2023-06-08,Thursday,dinner,[1],"황태해장국,잡곡밥,매콤모듬장조림,고구마순들깨나물,브로콜리숙회&초고추장",723,39,1232.0,NaN,NaN,False
926901230,2023-06-08,Thursday,dinner,[2],"소고기할라피뇨볶음밥&계란프라이,미소시루,볼새우카츠&타르타르소스,우엉파프리카볶음",919,36,1158.0,[2],NaN,True
926901231,2023-06-09,Friday,lunch,[1],"계림닭볶음탕,잡곡밥,얼갈이된장국,청포묵김가루무침,숙주나물",902,66,1481.0,[1],NaN,True
926901231,2023-06-09,Friday,lunch,[2],"부타동,무채국,야채튀김&초간장,과일샐러드",947,59,1307.0,NaN,NaN,False
926901232,2023-06-09,Friday,dinner,[1],"돌솥비빔밥&계란프라이,맑은팽이버섯국,오징어초무침,고구마맛탕,비빔밥고추장",941,40,1174.0,NaN,NaN,False
926901234,2023-06-12,Monday,lunch,[1],"차돌부추돌솥밥*양념장,된장찌개,야채계란찜,멸치견과류볶음,풀무원조미김",774,77,1472.0,[1],NaN,True
926901234,2023-06-12,Monday,lunch,[2],"투움바리조또&닭다리구이,모닝빵&에그스프레드,수제모듬피클,탄산음료",1226,60,1235.0,NaN,NaN,False
926901235,2023-06-12,Monday,dinner,[1],"전주식콩나물국밥,잡곡밥,언양식불고기,감자채볶음,청경채겉절이",803,34,1167.0,NaN,NaN,False
926901235,2023-06-12,Monday,dinner,[2],"장조림버터비빔밥,우동국물,통살새우까스&사우전S,마늘쫑무침",953,38,1351.0,NaN,NaN,False
926901237,2023-06-13,Tuesday,lunch,[1],"닭간장불고기,잡곡밥,시금치된장국,미역줄기볶음,매콤무조림",676,77,1472.0,NaN,NaN,False
926901237,2023-06-13,Tuesday,lunch,[2],"고추잡채덮밥&꽃빵,계란파국,꿔바로우,짜사이무침",993,60,1235.0,[2],NaN,True
926901238,2023-06-13,Tuesday,dinner,[1],"명란크림파스타,콤비네이션피자,오이피클할라피뇨,탄산음료",950,34,1167.0,NaN,NaN,False
926901238,2023-06-13,Tuesday,dinner,[2],"뼈없는감자탕,잡곡밥,식물성런천미트*케첩,맛살브로콜리볶음,양파풋고추된장무침",957,38,1351.0,NaN,NaN,False
926901239,2023-06-14,Wednesday,lunch,[1],"설렁탕,잡곡밥,너비아니구이,느타리버섯볶음,고들빼기무침",740,39,1213.0,NaN,NaN,False
926901239,2023-06-14,Wednesday,lunch,[2],"나시고랭,쌀국수국물,모듬춘권&칠리소스,레몬양파초절임",950,26,1225.0,NaN,NaN,False
926901240,2023-06-14,Wednesday,dinner,[1],"훈제오리볶음&양파구이,잡곡밥,아욱된장국,바싹김치전,무쌈&머스타드소스",857,30,1373.0,NaN,NaN,False
926901240,2023-06-14,Wednesday,dinner,[2],"가츠동돈부리,어묵국,방울토마토보코치니치즈&발사믹D,단무지무침",941,38,1234.0,NaN,NaN,False
926901241,2023-06-15,Thursday,lunch,[1],"오징어돈육두루치기,잡곡밥,감자양파국,계란장조림,시래기지짐",851,44,1322.0,NaN,NaN,False
926901241,2023-06-15,Thursday,lunch,[2],"<헬시데이>두부카츠채소덮밥,미소시루,오렌지컬리플라워샐러드,블루베리무피클,식물성오트요거트",801,48,1261.0,NaN,NaN,False
926901242,2023-06-15,Thursday,dinner,[1],"철판백순대볶음&양념장,잡곡밥,미역국,미니새송이버섯간장조림,겨자채무침",902,23,1387.0,NaN,NaN,False
926901242,2023-06-15,Thursday,dinner,[2],"소고기우엉볶음밥,콩가루배추된장국,크리미어니언피쉬커틀릿,적채양배추절임",942,36,1238.0,NaN,NaN,False
926901243,2023-06-16,Friday,lunch,[1],"초계국수,후리가케김가루밥,갈비만두찜,참나물겉절이",991,66,1481.0,NaN,NaN,False
926901243,2023-06-16,Friday,lunch,[2],"고갈비구이,잡곡밥,몽글순두부*양념장,부들어묵볶음,알마늘장아찌",711,59,1307.0,[2],NaN,True
926901244,2023-06-16,Friday,dinner,[1],"육개장,잡곡밥,단호박전,명엽채볶음,무들깨나물",746,40,1174.0,NaN,NaN,False
926901246,2023-06-19,Monday,lunch,[1],"떙초어묵우동,후리가케밥,납작부침만두&비빔야채,유자꼬들단무지",981,36,1260.0,NaN,NaN,False
926901246,2023-06-19,Monday,lunch,[2],"소고기숙주볶음,잡곡밥,김치국,매콤두부조림,오복지무침",705,34,1009.0,NaN,NaN,False
926901247,2023-06-19,Monday,dinner,[1],"콩비지찌개,잡곡밥,계란말이,쥐어채땅콩볶음,참나물겉절이",882,63,1339.0,NaN,NaN,False
926901247,2023-06-19,Monday,dinner,[2],"하이라이스&코코넛치즈돈까스,유부된장국,고구마샐러드,락교무침",968,36,1319.0,NaN,NaN,False
926901248,2023-06-20,Tuesday,lunch,[1],"돼지국밥*새우젓,잡곡밥,오징어채소초무침,브로콜리통마늘볶음,부추겉절이",714,43,1462.0,NaN,NaN,False
926901248,2023-06-20,Tuesday,lunch,[2],"베이컨갈릭볶음밥&계란프라이,미소시루,닭강정&알새우칩,궁채장아찌",955,58,1390.0,NaN,NaN,False
926901249,2023-06-20,Tuesday,dinner,[1],"매실청돈육불고기,잡곡밥,콩나물국호박깻잎채전,도토리묵무침,양배추쌈&쌈장",881,36,1227.0,NaN,NaN,False
926901249,2023-06-20,Tuesday,dinner,[2],"삼색야끼도리덮밥,무채국,네기타코야끼,미니새송이파프리카볶음",934,57,1271.0,[2],NaN,True
926901250,2023-06-21,Wednesday,lunch,[1],"불고기퀘사디아&양념감자튀김,*샤워크림/살사소스,콜드파스타,양배추적채피클,탄산음료",966,21,1008.0,NaN,NaN,False
926901250,2023-06-21,Wednesday,lunch,[2],"고추장삼겹살구이&구운양파,잡곡밥,유채된장국,알감자조림,꽃상추겉절이",986,33,1288.0,NaN,NaN,False
926901251,2023-06-21,Wednesday,dinner,[1],"떡만두국,잡곡밥,어니언떡갈비구이,열무나물,오이양파무침",891,27,1273.0,NaN,NaN,False
926901251,2023-06-21,Wednesday,dinner,[2],"차돌깍두기볶음밥&계란프라이,맑은팽이버섯국,궁중떡볶이,치커리유자청무침",896,35,1227.0,[2],NaN,True
926901254,2023-06-22,Thursday,lunch,[1],"소고기샤브샤브,잡곡밥,완자전,시금치나물,건새우마늘쫑볶음",861,55,1345.0,NaN,NaN,False
926901254,2023-06-22,Thursday,lunch,[2],"오징어비빔밥,수제비국,미니돈까스조림,맑은오이지무침",933,33,1332.0,NaN,NaN,False
926901255,2023-06-22,Thursday,dinner,[1],"느타리버섯무밥*양념장,돈육고추장찌개,조기한마리구이,가지나물,깻잎지무침",668,34,1327.0,NaN,NaN,False
926901255,2023-06-22,Thursday,dinner,[2],"마파두부덮밥,계란파국,후르츠탕수육,양장피겨자냉채",981,55,1100.0,[2],NaN,True
926901256,2023-06-23,Friday,lunch,"[1, 2]","<런치스페셜>치뱅이,치킨&골뱅이무침&소면사리,감자튀김,김가루양념밥,탄산&무알콜맥주,치킨무",1194,50,1330.0,NaN,NaN,False
926901257,2023-06-23,Friday,dinner,[1],"맑은소고기무국,잡곡밥,바싹김치전,데리야끼미트볼조림,무말랭이무침",740,25,1229.0,NaN,NaN,False
926901260,2023-06-26,Monday,lunch,[1],"양지탕,잡곡밥,두부구이&들기름양념장,느타리버섯볶음,고구마순나물,더그레잇티콤부차",728,31,1240.0,NaN,NaN,False
926901260,2023-06-26,Monday,lunch,[2],"돈목살필라프&계란프라이,맑은유부국,고로케&케첩,한입단무지,더그레잇티콤부차",999,35,1242.0,NaN,NaN,False
926901262,2023-06-27,Tuesday,lunch,[1],"고사리오일파스타,크림스프,그릴함박&구운감자*씨겨자s,수제모듬피클",819,38,1335.0,[1],NaN,True
926901262,2023-06-27,Tuesday,lunch,[2],"닭보쌈,잡곡밥,시래기된장국,옥수수맛살전,보쌈무김치",907,41,1282.0,NaN,NaN,False
926901263,2023-06-27,Tuesday,dinner,[1],"장터국밥,잡곡밥,계란말이,우엉파프리카조림.고들빼기무침",939,51,1219.0,NaN,NaN,False
926901263,2023-06-27,Tuesday,dinner,[2],"옛날카레라이스&새우튀김,우동국물,토마토순두부샐러드,락교무침",725,21,1060.0,[2],NaN,True
926901264,2023-06-28,Wednesday,lunch,[1],"차돌된장찌개,잡곡밥,돈저냐구이&파채,명엽채볶음,비름나물710kcal(단백질:(~g)Na함량:1268mg(염도:0.6%)[COURSE2]중화풍버섯잡채덮밥,게맛살스프,군만두유린기,중화오이무침",826,21,1402.0,[1],NaN,True
926901265,2023-06-28,Wednesday,dinner,[1],"뚝배기버섯소불고기,잡곡밥,부추장떡,무들깨나물,다시마쌈&초고추장",823,32,1282.0,NaN,NaN,False
926901266,2023-06-29,Thursday,lunch,[1],"유부쑥갓잔치국수,소시지치즈김밥반줄,야채튀김*초간장,오복지무침",994,42,1411.0,NaN,NaN,False
926901266,2023-06-29,Thursday,lunch,[2],"매콤콩나물돈육불고기,잡곡밥,배추된장국,해물부추전,상추쌈&쌈장",885,50,1417.0,NaN,NaN,False
926901267,2023-06-29,Thursday,dinner,[1],"사골우거지탕,잡곡밥,모듬장조림,구운가지&양념장,건파래자반",756,41,1292.0,NaN,NaN,False
926901267,2023-06-29,Thursday,dinner,[2],"지파이버거&알새우칩,오지치즈프라이&케첩소스,오이피클,탄산음료",988,31,1126.0,[2],NaN,True
926901268,2023-06-30,Friday,lunch,[1],"참치김치찌개,잡곡밥,언양식떡갈비,게맛살미역줄기볶음,참나물무침",750,27,1037.0,[1],NaN,True
926901268,2023-06-30,Friday,lunch,[2],"라따뚜이오므라이스,우동국물,두부코코넛치킨까스&머스타드S,블루베리무피클",978,37,1346.0,NaN,NaN,False
926901271,2023-06-30,Friday,dinner,[1],"간장불고기묵채비빔밥,호박새우젓국,메밀전병,오이깍둑무침",633,17,1297.0,NaN,NaN,False
926901273,2023-07-03,Monday,lunch,[1],"소고기미역국,잡곡밥,두부숙회&돈육김치볶음,감자채볶음,알마늘지무침",761,35,1242.0,NaN,NaN,False
926901273,2023-07-03,Monday,lunch,[2],"멜팅치즈돈까스&구운채소,쌀밥(소),양송이크림스프,모닝빵&딸기잼,블루베리무피클",814,26,1297.0,[2],NaN,True
926901274,2023-07-03,Monday,dinner,[1],"누룽지봉추찜닭,잡곡밥,유채된장국,비엔나소시지볶음,청포묵김가루무침",902,40,1356.0,[1],NaN,True
926901274,2023-07-03,Monday,dinner,[2],"가쓰오해물나시고랭,쌀국수국물,모듬춘권&칠리S,양파레몬초절임",985,42,1350.0,NaN,NaN,False
926901275,2023-07-04,Tuesday,lunch,[1],"돼지양념구이,잡곡밥,시금치된장국,부들어묵볶음,양배추쌈&쌈장",957,38,1335.0,NaN,NaN,False
926901275,2023-07-04,Tuesday,lunch,[2],"오징어볶음덮밥&꺳잎상추채,물만두국,녹두전*초간장,맑은오이지무침",835,41,1282.0,[2],NaN,True
926901276,2023-07-04,Tuesday,dinner,[1],"마라탕면,쌀밥(소),꿔바로우,짜사이무침",1054,51,1219.0,NaN,NaN,False
926901276,2023-07-04,Tuesday,dinner,[2],"산채보리비빔밥*계란후라이,청국장찌개,너비아니구이,브로콜리통마늘볶음,비빔고추장",930,21,1060.0,[2],NaN,True
926901277,2023-07-05,Wednesday,lunch,[1],"치즈부대전골&라면사리,잡곡밥,계란찜,삼색겨자채,반반콩자반810kcal(단백질:(~g)Na함량:1268mg(염도:0.6%)[COURSE2]베이컨크림리조또,노엣지직화불고기피자,오이피클,탄산음료",884,21,1402.0,[1],NaN,True
926901278,2023-07-05,Wednesday,dinner,[1],"순두부찌개,잡곡밥,동그랑땡조림,쥐어채볶음,청경채겉절이",847,32,1282.0,NaN,NaN,False
926901278,2023-07-05,Wednesday,dinner,[2],"새우볶음밥&자장소스,채소짬뽕국,깐풍기,한입단무지",766,20,1167.0,NaN,NaN,False
926901279,2023-07-06,Thursday,lunch,[1],"<제철식재>콩,콩국수,미니수육&보쌈무김치,오미자토마토절임",956,42,1411.0,NaN,NaN,False
926901279,2023-07-06,Thursday,lunch,[2],"<제철식재>옥수수춘천식뼈없는닭갈비,잡곡밥,얼갈이된장국,깻잎호박채전,간장마늘쫑지,양념옥수수구이",915,50,1417.0,NaN,NaN,False
926901280,2023-07-06,Thursday,dinner,[1],"동태매운탕,잡곡밥,오징어초무침,메추리알장조림,호박새우젓복음",770,41,1292.0,NaN,NaN,False
926901280,2023-07-06,Thursday,dinner,[2],"장조림버터비빔밥,감자양파국,코코넛연어치즈까스&타르타르소스,궁채장아찌",894,31,1126.0,[2],NaN,True
926901281,2023-07-07,Friday,lunch,[1],"꼬막영양밥*양념장,미니묵사발,도톰완자전,두부쑥갓나물,구운파래김",611,27,1037.0,[1],NaN,True
926901281,2023-07-07,Friday,lunch,[2],"명란마요규동,팽이버섯장국,피쉬커틀릿&어니언드레싱S,락교&초생강",967,37,1346.0,NaN,NaN,False
926901282,2023-07-07,Friday,dinner,[1],"모듬어묵전골,잡곡밥,떡갈비조림,숙주나물,오이부추무침",888,43,1083.0,NaN,NaN,False
926901284,2023-07-10,Monday,lunch,[1],"매콤제육볶음&파채,잡곡밥,배추된장국,볼어묵간장조림,콩나물무침",690,34,1218.0,NaN,NaN,False
926901284,2023-07-10,Monday,lunch,[2],"강황밥&일식커리&구운소시지,미소시루,고구마샐러드&요거트D,락교&초생강",877,21,1067.0,[2],NaN,True
926901285,2023-07-10,Monday,dinner,[1],"뼈없는감자탕,잡곡밥,호박채전,멸치견과류볶음,풋고추양파된장무침",915,44,1260.0,[1],NaN,True
926901285,2023-07-10,Monday,dinner,[2],"소불고기달걀덮밥,맑은유부국,세서미두부카츠&데리야끼소스,오복지무침",984,35,1211.0,NaN,NaN,False
926901288,2023-07-11,Tuesday,dinner,[1],"철판백순대볶음,잡곡밥,김치수제비국,두부브로콜리무침,무쌈*순대양념장",928,22,1358.0,NaN,NaN,False
926901288,2023-07-11,Tuesday,dinner,[2],"뉴욕칠리핫도그,웨지감자튀김&케첩소스,마카로니콘치즈구이,오이피클,탄산음료",1014,20,1230.0,NaN,NaN,False
